@relation communication_pattern.2016-09-23_to_06pattern

@attribute timeave_1 real
@attribute timesd_1 real
@attribute dataave_1 real
@attribute datasd_1 real
@attribute timeave_2 real
@attribute timesd_2 real
@attribute dataave_2 real
@attribute datasd_2 real
@attribute cluster real
@attribute class {sencing,streaming,kensaku}

@data
335.53846153846155,78.67617700678119,90.0,0.0,0,0,0,0,1,sencing
602.7943262411347,44.8950735313235,113.0,0.0,0,0,0,0,1,sencing
1565.846154,3097.170827,90,0,20278,4321,180,0,2,sencing
752.7746479,2509.634989,90,0,21868,5011,180,0,2,sencing
686.6666667,1357.135272,90,0,9098.333333,4239.600715,180,0,2,sencing
615.6835443,2081.007348,90,0,16228,1771,180,0,2,sencing
1394.419355,3205.25855,90,0,13378,1201,180,0,2,sencing
1348.95,2521.877296,727.9,250.2888132,5308.8,5113.403598,5883.6,872.2324461,3,sencing
10048.5,9886.810949,1084.75,144.4738298,19858,2281,6193.5,256.5,3,sencing
199.7360595,101.3151119,427.1895911,209.1833593,3137.625,7232.834393,2025.625,675.7529019,2,sencing
1190.955556,2872.566224,90,0,11353.5,7795.793144,180,0,2,sencing
647.9538462,2006.370749,90,0,39901,0,180,0,2,sencing
2629.421053,9819.514461,5683.631579,3184.124422,2949.470588,10232.41096,16937.29412,3715.856338,2,kensaku
411.2575758,3938.303984,25192.13636,356.6328384,2278.909091,9075.194974,8385.863636,4015.831175,3,streaming
1195.514286,1876.485916,90,0,0,0,0,0,1,sencing
4252.555556,5159.406837,996.8888889,339.9060146,178.4660633,1080.79747,341.6289593,75.86543143,3,sencing
431.877551,756.7658936,90,0,7703.4,2673.654697,180,0,2,sencing
858.5217391,1892.960377,90,0,7138.6,3772.589646,180,0,2,sencing
281.7120419,60.36707791,502.9842932,90.43510163,3761.571429,9020.515963,2513.571429,290.3317596,2,sencing
8718.333333,12161.3925,324,0,8118.666667,8760.28161,270,0,4,sencing
84.11285266,40.8108619,774,0,201.0892193,86.7562894,1072.074349,97.67133479,2,sencing
1743.916667,2999.082525,90,0,14548,4291,180,0,2,sencing
3778.846154,1537.458535,622,0,0,0,0,0,1,sencing
800.4716981,2478.634626,90,0,0,0,0,0,1,sencing
1198.9375,4373.441165,90,0,15958,8999,180,0,2,sencing
976.0952381,1656.862566,90,0,7114.6,6859.58464,180,0,2,sencing
6668.666667,2462.532684,108,0,10358.33333,11608.16498,984,354.9676042,4,sencing
369.8951049,3348.32369,384.1118881,110.5174799,24358,19861,6432.5,308.5,2,sencing
687.9310345,1275.641405,90,0,9928.5,10663.78689,180,0,2,sencing
496.7592593,1064.019727,90,0,5381.571429,3687.685254,180,0,2,sencing
4360.8,2826.406404,108,0,2872.222222,1150.087367,3715.888889,3.664982778,4,sencing
7130.142857,5469.519891,108,0,2578.894737,1648.428978,3767.210526,82.74728741,2,sencing
2214.571429,5738.820993,90,0,22137,0,180,0,2,sencing
4152.692308,1155.153229,2010.461538,125.398206,1644.933333,1986.619137,127.5,73.82355089,2,sencing
14678.33333,13760.78974,98,0,271.7171717,74.49975126,1008.621212,304.7624227,2,sencing
31197,0,74,0,25977,0,1352,0,3,sencing
1278.952381,3892.370816,90,0,7738,3781,180,0,2,sencing
2354.866667,7708.39883,42,0,88,31,105,21,4,sencing
598.2954545,6.571562515,113,0,0,0,0,0,1,sencing
509.5849057,963.077456,126,0,174.7346278,178.4150124,84,0,4,sencing
119.16991643454037,123.49767553999236,99.0919220056,27.387041573828753,119.25490196078432,134.52040345820708,42.0,0.0,2,sencing
32337.5,21178.5,180.0,0.0,2059.53125,5219.9025373107725,90.0,0.0,2,sencing
16510.4,9288.458205751911,5594.6,109.29153672631745,240.67226890756302,1790.509223418566,360.647058824,115.39339034870005,2,sencing
7822.7,6590.366849425,5713.9,314.4142013332095,115.68599717114569,905.7230923812564,338.644978784,122.42058817749388,2,sencing
12347.4,9728.216806794551,5845.4,176.79999999999995,179.0054945054945,1610.042047765901,347.972527473,124.48550960815932,2,sencing
15776.0,0.0,180.0,0.0,7524.285714285716,8673.389627628467,90.0,0.0,2,sencing
24357.5,19861.5,180.0,0.0,3718.869565217392,8975.243362592983,90.0,0.0,2,sencing
2053.925,1403.247472605955,3769.0,82.21435397787907,5358.8,3905.34307839913,108.0,0.0,2,sencing
11278.571428571431,5633.293983278417,180.0,0.0,1077.3815789473683,2509.754994160447,90.0,0.0,2,sencing
17397.5,2761.5,180.0,0.0,2872.166666666666,6311.330589151193,90.0,0.0,2,sencing
17068.25,3119.848824462493,180.0,0.0,2508.5517241379307,5700.3345430331565,90.0,0.0,2,sencing
7520.545454545455,5647.700277967313,180.0,0.0,489.32758620689657,992.730271870097,90.0,0.0,2,sencing
5855.6923076923085,4626.13201754846,180.0,0.0,562.58,869.7300981338988,90.0,0.0,2,sencing
37796.0,0.0,226.0,0.0,598.556338028169,5.268194024530903,113.154929577,1.8396868022171435,2,sencing
290.04067796610167,40.06306519427454,993.06440678,85.50233967006349,892.71875,988.8241196736847,108.34375,45.62638767866865,2,sencing
4129.368421052632,792.8670964840076,622.0,0.0,0,0,0,0,1,sencing
4135.85,773.3075245334159,2064.45,92.92710853136451,1970.357142857143,1969.2507134565114,123.523809524,65.21256017467147,2,sencing
12537.5,4381.5,180.0,0.0,380.2122641509434,725.9752628722428,90.0,0.0,2,sencing
14787.5,7528.5,180.0,0.0,3567.4285714285716,3803.1533103519264,90.0,0.0,2,sencing
3031.035714285714,2543.525905989317,3768.21428571,85.30841406452285,6321.846153846153,3748.7949211642326,112.153846154,14.389345170572215,2,sencing
28680.0,8761.0,180.0,0.0,360.0210970464135,555.7551478529382,90.0,0.0,2,sencing
2491.590909090909,6466.267158802539,90.0,0.0,0,0,0,0,1,sencing
134.9022082018927,48.44584502809927,980.91955836,17.744635190343796,106.18260869565218,43.40069204763173,778.3478260869999,8.249419983047945,2,sencing
23978.0,12534.445420520207,180.0,0.0,1330.0555555555557,3900.149305863136,90.0,0.0,2,sencing
14854.4,7539.8857179668175,180.0,0.0,433.6040609137056,966.0053102731327,90.0,0.0,2,sencing
23877.5,2701.5,180.0,0.0,3121.1111111111113,8253.096138816221,90.0,0.0,2,sencing
13594.4,10180.373894901895,180.0,0.0,1301.0526315789473,2518.510868991817,90.0,0.0,2,sencing
3110.0,2784.7703675527723,3759.74074074,81.22241644265846,10998.5,10696.719181599561,108.0,0.0,2,sencing
16918.4,10574.083858188378,180.0,0.0,1780.1875,3144.877784166461,90.0,0.0,2,sencing
34887.5,868.5,1624.0,0.0,290.04067796610167,51.28483146626708,802.522033898,55.45948610700535,2,sencing
290.04067796610167,40.06306519427454,951.084745763,88.52870608569027,5748.5,4670.658545644286,140.33333333299998,73.88654967057415,2,sencing
3555.2272727272725,1482.1663485286474,213.545454545,64.0537609943449,0,0,0,0,1,sencing
23058.0,8756.876269538128,180.0,0.0,3673.85,7027.30744506742,90.0,0.0,2,sencing
34887.5,868.5,980.0,0.0,292.0273037542662,47.56614871578068,490.300341297,5.132234331658334,2,sencing
17092.0,0.0,180.0,0.0,338.80971659919027,402.7591079229599,90.0,0.0,2,sencing
12852.25,5110.925228126508,180.0,0.0,1393.8833333333334,2373.1302751967823,90.0,0.0,2,sencing
12393.6,7686.555837304508,180.0,0.0,403.9663461538461,768.6240164574019,90.0,0.0,2,sencing
1491.5121951219512,4430.5513345293775,90.0,0.0,0,0,0,0,1,sencing
10936.666666666666,4019.883608044171,180.0,0.0,3598.65,4462.296306555628,90.0,0.0,2,sencing
4129.65,902.1335973679284,2023.9,71.90125172762987,1877.9318181818185,1988.6457177702082,134.045454545,72.53461698497502,2,sencing
12549.6,7510.087179254313,180.0,0.0,1009.3066666666666,2609.912391752303,90.0,0.0,2,sencing
25765.5,10353.5,180.0,0.0,5798.222222222223,11605.082237037144,90.0,0.0,2,sencing
134.99684542586752,51.87226475918886,980.61829653,11.819463961130953,106.18260869565218,45.214109771035844,777.475776398,12.55233900352106,2,sencing
8095.5,8036.5,90.0,0.0,0,0,0,0,1,sencing
2373.0857142857144,2471.152101133959,3757.0,61.59591823211294,6548.416666666668,7732.3408751633715,108.0,0.0,2,sencing
68812.0,0.0,980.0,0.0,292.0374149659864,40.353733039067706,490.33333333300004,5.705747589541245,2,sencing
11080.857142857143,6575.407699007208,270.0,0.0,6307.6923076923085,3506.502824634766,203.53846153799998,43.168035511716646,2,sencing
21179.666666666668,9775.516400113544,180.0,0.0,3061.48,4527.286208050027,90.0,0.0,2,sencing
291.0440677966102,36.094810515708424,809.4237288139999,50.20858302944599,42355.5,42056.5,198.0,0.0,2,sencing
109.60590500641848,114.0523156136612,100.767650834,29.59688393897815,132.15123456790124,174.3793632093282,42.0,0.0,2,sencing
12457.833333333336,12842.606438682487,180.0,0.0,1626.6739130434785,4084.624883284332,90.0,0.0,2,sencing
25576.66666666667,18050.936380759373,180.0,0.0,1227.5522388059699,2289.7322680198668,90.0,0.0,2,sencing
4116.526315789473,923.7068553229633,622.0,0.0,0,0,0,0,1,sencing
291.0440677966102,36.094810515708424,947.972881356,63.34344863455184,7798.363636363636,10131.228250699349,98.0,0.0,2,sencing
19696.666666666668,2666.75537352458,180.0,0.0,2076.0,4978.811477063369,90.0,0.0,2,sencing
12772.0,0.0,180.0,0.0,2649.590909090909,5453.2174877780435,90.0,0.0,2,sencing
13657.833333333336,7334.255254549633,5565.83333333,164.64043313300112,186.55,1455.8069836303725,354.239130435,126.29041493158432,2,sencing
13677.25,5516.409990881751,180.0,0.0,2393.5,3382.738103006115,90.0,0.0,2,sencing
292.0374149659864,35.511643603370906,991.605442177,64.15314986069957,874.4387755102042,794.7874194839329,106.23469387799999,44.703741572944175,2,sencing
17202.25,17491.340477147543,5602.25,95.99837238203571,250.31615120274913,2551.110845513473,331.336769759,132.4109893146477,2,sencing
12921.6,12441.340242915954,5733.4,212.795300699992,200.6217008797654,1852.944515867624,350.75073313800004,117.32607158787262,2,sencing
2926.3448275862074,2122.5778451402302,3781.06896552,90.81771475170991,5805.642857142857,4284.280496471838,108.0,0.0,2,sencing
2708.766666666667,2096.570114629023,3748.73333333,66.52464873179633,16437.6,10962.454097509373,108.0,0.0,2,sencing
28456.66666666667,10716.989513021941,180.0,0.0,4072.952380952381,10343.565842158387,90.0,0.0,2,sencing
598.5281690140845,5.602682534024936,113.0,0.0,0,0,0,0,1,sencing
10717.833333333334,6233.7869821553,180.0,0.0,500.6153846153846,1141.4255801538663,90.0,0.0,2,sencing
15515.4,6193.03252373181,5727.8,217.36273829706874,239.88823529411764,1697.7694499417987,341.414705882,121.7168426461063,2,sencing
7402.3,5405.557326492801,180.0,0.0,605.3333333333334,1488.7822462778586,90.0,0.0,2,sencing
1538.5892857142858,4880.650716922846,90.0,0.0,0,0,0,0,1,sencing
4097.789473684211,956.1078214328057,622.0,0.0,0,0,0,0,1,sencing
23157.5,6601.5,180.0,0.0,2040.9655172413793,5663.205796663466,90.0,0.0,2,sencing
18193.25,5663.788413023564,5740.25,378.108036809587,268.4668989547038,1932.242480000263,320.888501742,111.35153913838323,2,sencing
11707.142857142857,9289.525167452572,5835.14285714,362.65112261606725,169.84554455445544,1447.887917515733,328.63960396,123.45760011269293,2,sencing
4138.85,948.930148904544,2041.75,99.60114206172537,1882.1136363636365,2001.0691598596288,127.431818182,61.50587471101393,2,sencing
10366.4,4290.103383369683,270.0,0.0,5952.615384615385,2591.1512006015196,211.846153846,14.389345170572215,2,sencing
15223.25,11853.391674432258,180.0,0.0,997.4230769230768,2292.506340450537,90.0,0.0,2,sencing
27810.0,10349.0,5567.0,124.0,281.94786729857816,2492.157034475553,338.303317536,122.02401650948772,2,sencing
31947.5,13708.5,180.0,0.0,5410.8,11727.379475398584,90.0,0.0,2,sencing
17456.0,0.0,980.0,0.0,290.04067796610167,46.544657319225045,490.0,0.0,2,sencing
22958.0,18232.302158531707,180.0,0.0,370.706976744186,579.8709661581494,90.0,0.0,2,sencing
17983.25,7262.765601855811,180.0,0.0,2502.344827586207,6268.902242767054,90.0,0.0,2,sencing
34977.5,13441.5,180.0,0.0,2263.1315789473683,4000.789265363133,90.0,0.0,2,sencing
2517.090909090909,2065.315360227121,3766.87878788,76.33886081975571,5136.3125,3211.797913917336,108.0,0.0,2,sencing
16426.4,15912.40682737844,180.0,0.0,1902.9333333333332,7159.9188586339615,90.0,0.0,2,sencing
20518.25,15855.214337482163,180.0,0.0,1343.7142857142858,2951.93412210105,90.0,0.0,2,sencing
102.0443113772455,100.26423389911275,99.5928143713,26.91511511067027,143.4254606365159,177.9266026615197,42.0,0.0,2,sencing
135.09148264984228,55.897589633398724,981.2208201889999,22.268546134881817,106.10807453416149,46.80037688327752,777.47826087,7.580693814853343,2,sencing
17456.0,0.0,1624.0,0.0,290.04067796610167,46.544657319225045,808.0,0.0,2,sencing
5113.8125,3095.613614833697,180.0,0.0,451.5645161290323,850.1166451457118,90.0,0.0,2,sencing
2053.925,2084.4264125593413,3739.45,55.106238303843604,40647.5,2848.5,108.0,0.0,2,sencing
12205.0,4801.133080549097,180.0,0.0,638.4179104477612,1295.1338275718865,90.0,0.0,2,sencing
288.08080808080814,44.349319689514495,991.821548822,65.90426538230281,973.9659090909092,877.7669167845452,107.545454545,46.933683652117395,2,sencing
4041.714285714286,2882.653327072409,3759.95238095,74.45450908375189,6323.75,4053.663551344635,209.75,337.46657241866194,2,sencing
536.0,0.0,180.0,0.0,14614.4,22680.821604165933,90.0,0.0,2,sencing
22018.0,19302.2465531865,180.0,0.0,3542.0,10499.550261045018,90.0,0.0,2,sencing
24638.0,24777.10237295717,180.0,0.0,325.3244274809161,242.5929382280274,90.0,0.0,2,sencing
13556.0,0.0,90.0,0.0,0,0,0,0,1,sencing
12348.5,6021.88602100704,180.0,0.0,1502.2777777777776,3431.4073045189753,90.0,0.0,2,sencing
29967.5,9811.5,180.0,0.0,478.98305084745766,1592.948034428833,90.0,0.0,2,sencing
10718.5,9926.395179016401,5706.0,188.38966709102348,159.36682242990653,1409.4760670779722,320.112149533,120.0538685245748,2,sencing
289.05743243243245,42.85062141404449,948.7364864860001,62.47798114692661,4937.23076923077,5628.179158400455,98.0,0.0,2,sencing
598.556338028169,5.268194024530903,113.0,0.0,0,0,0,0,1,sencing
17878.25,24087.82372252629,90.0,0.0,0,0,0,0,1,sencing
12748.833333333336,1829.5600943639126,180.0,0.0,1602.729166666667,2737.764650370073,90.0,0.0,2,sencing
25898.66666666667,26954.18904157364,180.0,0.0,1275.6,2381.4330837350212,90.0,0.0,2,sencing
3198.28,9816.909149095758,90.0,0.0,2550.0,2549.0,180.0,0.0,2,sencing
27639.66666666667,15489.558662387886,180.0,0.0,435.23469387755097,1099.9366057894042,90.0,0.0,2,sencing
42358.0,0.0,226.0,0.0,598.5704225352113,5.1009497697838775,113.154929577,1.8396868022171435,2,sencing
856.99,740.1994122532118,110.57,47.120325762880704,286.75585284280936,49.39957812154939,997.397993311,155.87431304594455,2,sencing
12808.5,1830.5,180.0,0.0,1279.9069767441858,3678.976872522573,90.0,0.0,2,sencing
55018.0,0.0,156.0,0.0,0,0,0,0,1,sencing
46738.0,0.0,158740.0,0.0,0,0,0,0,1,sencing
19878.666666666668,16521.9555003503,212435.333333,72789.02776899519,155.1992551210428,1007.7499723901362,1182.56610801,6889.152022844372,2,kensaku
5975.846153846153,6291.119697895951,98.0,0.0,286.75585284280936,49.39957812154939,956.1906354519999,155.19807318067518,2,sencing
3017.4230769230767,4297.6588275395925,90.0,0.0,7858.666666666668,2380.630215346815,180.0,0.0,2,sencing
26498.66666666667,31190.233517703724,108.0,0.0,2910.074074074074,1916.566082885896,3743.51851852,58.675738168829724,2,sencing
24958.0,0.0,180.0,0.0,1219.7307692307693,4712.531848965567,90.0,0.0,2,sencing
69118.0,0.0,180.0,0.0,3865.611111111111,10304.999688063444,90.0,0.0,2,sencing
32398.0,0.0,180.0,0.0,4056.375,9941.59510513152,90.0,0.0,2,sencing
23368.5,23309.5,201953.5,40800.5,178.2037037037037,1174.2299078520455,680.248677249,4022.452605639333,2,kensaku
10243.875,5651.5609666157725,180.0,0.0,471.74175824175836,967.4399571414407,90.0,0.0,2,sencing
40378.5,32820.5,180.0,0.0,11544.571428571431,15892.906700404275,90.0,0.0,2,sencing
27570.0,27451.0,42679.0,15163.0,395.01,3700.5740230266933,463.56,695.4759639268633,2,kensaku
1824.8863636363642,2030.856718189161,134.045454545,75.42514487449691,4198.95,940.6455482805412,2030.5,99.56982474625532,2,sencing
46738.0,0.0,555.0,0.0,0,0,0,0,1,sencing
264.4738461538462,2227.636887291919,335.772307692,120.47185628275619,16786.8,11573.438355130249,6074.2,334.8840993537914,2,sencing
8578.0,0.0,180.0,0.0,2713.9375,7718.290901073485,90.0,0.0,2,sencing
4214.736842105263,962.4960884188603,622.0,0.0,0,0,0,0,1,sencing
39628.5,19349.5,1624.0,0.0,289.67229729729735,51.37064615725904,808.0,0.0,2,sencing
41218.5,2939.5,180.0,0.0,366.9785407725322,590.5087967375905,90.0,0.0,2,sencing
79258.0,0.0,2842.0,0.0,287.7214765100672,47.85933957334877,490.986577181,30.55559057079324,2,sencing
2122.657894736842,5684.9670937172705,90.0,0.0,40378.5,24540.5,180.0,0.0,2,sencing
17098.5,13260.5,180.0,0.0,370.4739130434783,710.6981299596654,90.0,0.0,2,sencing
19978.666666666668,14039.176621946963,180.0,0.0,1550.7450980392155,2833.0823153613487,90.0,0.0,2,sencing
1663.686274509804,1454.0599077417019,3088.92156863,2600.637107786771,0,0,0,0,1,sencing
1614.3653846153845,1793.6990360366196,3050.19230769,2590.660274008432,0,0,0,0,1,sencing
5798.916666666668,2976.693928346607,180.0,0.0,521.1870967741935,1081.1872195436265,90.0,0.0,2,sencing
115.8319783197832,138.86667274233005,42.0,0.0,123.14676258992806,146.5201782465609,101.10215827299999,28.13001026228481,2,sencing
3604.409090909091,1503.8942981198363,240.545454545,70.45870955436322,0,0,0,0,1,sencing
53638.0,0.0,180.0,0.0,5117.6875,8740.127478466418,90.0,0.0,2,sencing
134.45054945054946,60.40807971351621,980.2762951330001,9.263911178557349,106.43391521197009,49.8986878510813,776.89276808,7.0347177933800005,2,sencing
118.0911602209945,131.93735948523258,101.983425414,29.0877839100354,120.27762039660057,151.95968036509092,42.0,0.0,2,sencing
9943.75,11283.801561862914,6416.25,202.71454683865193,150.32764505119454,1455.3625500315634,328.225255973,121.55880517840768,2,sencing
5638.928571428572,4151.996085607254,180.0,0.0,541.3161290322581,888.1129305903552,90.0,0.0,2,sencing
4183.1578947368425,562.3125430949266,622.0,0.0,0,0,0,0,1,sencing
4183.1578947368425,562.3125430949266,2000.42105263,135.9788357330398,1782.3829787234042,1961.1513287297234,152.595744681,144.8138437567154,2,sencing
23018.66666666667,16519.407582867156,180.0,0.0,345.14979757085024,426.07871893193465,90.0,0.0,2,sencing
5301.4375,3117.9523121904467,180.0,0.0,502.4260355029586,902.835825913506,90.0,0.0,2,sencing
25598.66666666667,22899.121094244838,180.0,0.0,2012.6341463414635,3021.414543183517,90.0,0.0,2,sencing
7815.272727272727,15310.798233991054,90.0,0.0,0,0,0,0,1,sencing
39568.5,37830.5,1624.0,0.0,292.0341296928328,47.03871249714771,808.0,0.0,2,sencing
42418.5,9299.5,180.0,0.0,14158.833333333336,18441.40016752765,90.0,0.0,2,sencing
4018.0,0.0,180.0,0.0,4678.933333333333,10060.74868298688,90.0,0.0,2,sencing
11964.571428571431,6952.82495222816,6206.71428571,234.5766486281886,184.9461206896552,1418.194392690614,356.56465517199996,123.55586531683338,2,sencing
2621.548387096774,1682.8896009391135,3733.58064516,56.58266815083607,11904.571428571431,7545.229180598499,491.142857143,507.6957549476229,2,sencing
3814.933333333333,11568.112242808773,90.0,0.0,0,0,0,0,1,sencing
39568.5,37830.5,980.0,0.0,292.0341296928328,47.03871249714771,490.27303754300004,4.665667574234826,2,sencing
8805.555555555555,6935.662863636372,180.0,0.0,1420.9833333333331,2533.3652354899186,90.0,0.0,2,sencing
9398.833333333334,17266.169044470233,90.0,0.0,0,0,0,0,1,sencing
81238.0,0.0,180.0,0.0,5570.9333333333325,13086.76915802963,90.0,0.0,2,sencing
26520.0,19139.0,180.0,0.0,324.72244897959183,230.11178407355115,90.0,0.0,2,sencing
16846.8,4833.353634899892,180.0,0.0,2553.5151515151515,3254.4137313222664,90.0,0.0,2,sencing
290.0474576271186,39.440035393511245,998.681355932,85.05770817624547,1008.4,1032.622534532115,108.56470588200001,48.344218477576106,2,sencing
14248.75,14344.55629106387,6315.0,237.868661239769,220.65107913669064,2156.1218208421797,348.442446043,123.84628118680435,2,sencing
33268.5,989.5,180.0,0.0,4594.933333333333,13884.492243586808,90.0,0.0,2,sencing
14788.75,7482.288098402787,180.0,0.0,1226.3382352941173,2226.3880641225765,90.0,0.0,2,sencing
134.8771653543307,63.06515090052948,980.593700787,12.324559362083823,106.24129353233829,50.719269168566115,776.487562189,6.6002483390157,2,sencing
4828.5,4170.5,180.0,0.0,1761.052631578947,5371.9481957928965,90.0,0.0,2,sencing
23678.66666666667,25059.011690186206,180.0,0.0,361.2838983050848,532.3496444800401,90.0,0.0,2,sencing
290.0474576271186,39.440035393511245,954.345762712,86.64035800126709,6598.923076923077,8013.694053225279,98.0,0.0,2,sencing
55558.0,0.0,180.0,0.0,3475.1875,11390.358445955237,90.0,0.0,2,sencing
6086.615384615385,2959.931484094276,270.0,0.0,10661.714285714286,7774.801691807886,192.857142857,56.68819119012498,2,sencing
15827.4,16347.439011661734,6177.2,318.6053357996379,211.44162436548226,2376.1587689637345,348.807106599,122.10839551015621,2,sencing
2773.964285714286,2163.408776546581,3788.07142857,89.0304637154483,4798.9375,4944.8131975428305,315.9375,402.2103723100015,2,sencing
2571.696969696969,2101.201683378643,3778.03030303,88.08277265902859,4156.95,3265.1756227651813,324.8,456.6406245615912,2,sencing
598.5704225352113,5.1009497697838775,113.0,0.0,0,0,0,0,1,sencing
9147.666666666666,8933.847373270315,6277.66666667,339.9468912769889,189.81290322580642,1447.3081344214688,346.990322581,145.48309923978158,2,sencing
2651.875,2254.537365930093,3787.90625,165.8537306211033,3825.0,2794.104117276559,377.77272727300004,437.98131257542167,2,sencing
110.97662337662338,112.09617611804032,98.0727272727,25.932678258384428,129.9619482496195,147.93441329623224,42.0,0.0,2,sencing
20436.33333333333,14705.157855512996,180.0,0.0,1860.575757575757,5517.763002095242,90.0,0.0,2,sencing
5287.0,4932.9073432553805,180.0,0.0,450.4162162162162,714.7688076473984,90.0,0.0,2,sencing
9535.0,7444.0,180.0,0.0,3375.222222222222,6136.902073662932,90.0,0.0,2,sencing
289.24324324324317,41.44870187085087,953.5810810810001,86.08850046518866,5658.466666666666,5068.9921400171415,101.46666666700001,12.971078940816328,2,sencing
598.5211267605633,5.686304661398407,113.0,0.0,0,0,0,0,1,sencing
2244.7297297297296,2059.030795992589,3773.16216216,101.98291152920523,4422.789473684211,4124.295864354461,440.57894736800006,526.7311624078486,2,sencing
11485.0,10234.0,1624.0,0.0,290.2271186440678,50.354666962637204,805.484745763,33.830769334274834,2,sencing
20755.0,2404.0,180.0,0.0,2158.68,3967.7793357998135,90.0,0.0,2,sencing
12987.0,13742.98919449477,194.0,24.248711305964278,2126.3846153846152,4175.580688100787,90.0,0.0,2,sencing
3250.68,2765.242075768413,3759.56,74.41617028576515,6688.2,7414.187059954718,714.3,500.6467916605479,2,sencing
19256.33333333333,15678.505484331798,180.0,0.0,2239.315789473684,3381.196223273208,90.0,0.0,2,sencing
28576.33333333333,17738.395668404988,180.0,0.0,3901.363636363637,7505.8644378031295,90.0,0.0,2,sencing
31440.0,31381.0,144135.0,18981.0,171.31578947368422,1564.0151640754075,540.661327231,2726.316140446257,2,kensaku
